"yyyy-mm"	"id"	"Alcoholic beverages tobacco products and recreational cannabis"	"All-items"	"All-items excluding food"	"All-items excluding food and energy"	"Clothing and footwear"	"Food"	"Health and personal care"	"Household operations furnishings and equipment"	"Recreation education and reading"	"Shelter"	"Transportation"
"1"	"1992-01"	"Canada"	79.8	83.1	83.3	84.2	94.1	82	85.3	87.7	78.9	87.6	73.6
"2"	"1992-02"	"Canada"	79.9	83.2	83.5	84.4	94.8	82.2	85.1	87.7	78.9	87.6	72.7
"3"	"1992-03"	"Canada"	80.2	83.6	83.7	84.8	94.8	82.9	85.5	87.6	79	87.5	73.6
"4"	"1992-04"	"Canada"	80.5	83.7	83.9	84.9	94.7	83	86.1	87.6	78.8	87.4	73.7
"5"	"1992-05"	"Canada"	80.9	83.9	84.1	85.2	95.5	82.8	86.2	87.7	78.9	87.6	74
"6"	"1992-06"	"Canada"	81	84.1	84.1	85.3	95.1	83.3	86.4	87.7	79	87.5	74.7
"7"	"1992-07"	"Canada"	81.3	84.1	84.3	85.3	95	83.1	87	87.9	79.2	87.7	75.3
"8"	"1992-08"	"Canada"	81.4	84.2	84.4	85.4	95.7	83.5	87.3	88.1	79.2	87.9	74.5
"9"	"1992-09"	"Canada"	81.5	84.3	84.3	85.3	95.1	83.6	87.3	87.9	79.2	87.7	74.3
"10"	"1992-10"	"Canada"	81.5	84.4	84.6	85.5	95.7	83.5	87.4	87.9	79.3	88.4	74.2
"11"	"1992-11"	"Canada"	81.6	84.5	84.7	85.5	95.1	83.6	87.6	88.2	79.7	88.6	76.2
"12"	"1992-12"	"Canada"	81.7	84.7	84.7	85.7	95.5	83.5	87.7	88.3	79.8	88.7	75.9
"13"	"1993-01"	"Canada"	81.8	84.9	85.1	86	95.9	83.8	87.9	88.3	80.2	88.9	76.2
"14"	"1993-02"	"Canada"	81.8	85.2	85.4	86.3	95.4	84.2	88.1	88.3	80.3	88.9	76.2
"15"	"1993-03"	"Canada"	81.9	85.2	85.4	86.5	95.6	84.2	88.3	88	80.3	88.9	76.2
"16"	"1993-04"	"Canada"	82.1	85.3	85.5	86.6	95.8	83.9	88.4	88.5	80.8	89	75.9
"17"	"1993-05"	"Canada"	82.1	85.4	85.6	86.6	95.8	84.7	88.8	88.6	80.7	88.9	75.9
"18"	"1993-06"	"Canada"	81.9	85.4	85.6	86.6	96.4	84.5	88.9	88.7	81	88.9	76.1
"19"	"1993-07"	"Canada"	82.3	85.5	85.7	86.8	96.4	84.5	88.9	88.8	80.9	88.9	76.8
"20"	"1993-08"	"Canada"	82.6	85.7	85.8	86.9	96	84.6	89.2	88.8	81.1	89	76.8
"21"	"1993-09"	"Canada"	82.7	85.8	86	87.1	96.1	84.7	89.4	89	81.3	89	76.9
"22"	"1993-10"	"Canada"	82.6	86	86.2	87.2	96	84.8	89.7	89.3	81.7	89.4	76.8
"23"	"1993-11"	"Canada"	82.5	86.1	86.3	87.4	96.2	84.9	89.4	89.2	81.9	89.5	78.8
"24"	"1993-12"	"Canada"	82.5	86.1	86.3	87.5	96.4	85	89.7	89.1	82.3	89.6	78.6
"25"	"1994-01"	"Canada"	82.4	86	86.2	87.4	96.5	84.9	89.7	88.8	82.6	89.5	78
"26"	"1994-02"	"Canada"	68.3	85.3	85.6	86.6	96.7	84.5	90	89	82.8	89.5	79
"27"	"1994-03"	"Canada"	68.1	85.3	85.6	86.6	97.1	84.2	89.9	88.8	83	89.4	79
"28"	"1994-04"	"Canada"	67.7	85.3	85.6	86.6	97	84.4	90	88.9	83.1	88.9	79.4
"29"	"1994-05"	"Canada"	67.4	85.2	85.4	86.5	96.2	84.4	90	88.5	83	89	79.4
"30"	"1994-06"	"Canada"	67.4	85.3	85.7	86.6	97	84.4	89.9	88.7	83.1	89.2	80
"31"	"1994-07"	"Canada"	67.3	85.6	85.7	86.6	97.5	84.9	89.3	88.6	83	89.2	80.9
"32"	"1994-08"	"Canada"	67.3	85.8	85.9	86.7	96.8	85.2	89.4	88.6	83.3	89.4	81.2
"33"	"1994-09"	"Canada"	67.3	85.9	86	86.9	96.3	85.1	89.8	89	83.8	89.4	80.9
"34"	"1994-10"	"Canada"	67.4	85.8	85.9	86.9	96.1	85.4	89.6	89	84.1	89.7	80.2
