"yyyy-qq"	"id"	"Consommation de capital fixe : administrations publiques et institutions sans but lucratif au service des ménages; Dollars"	"Consommation de capital fixe : entreprises individuelles; Dollars"	"Consommation de capital fixe : sociétés; Dollars"	"Cotisations sociales à la charge des employeurs; Dollars"	"Divergence statistique; Dollars"	"Excédent d'exploitation brut; Dollars"	"Excédent d'exploitation net : sociétés; Dollars"	"Impôts moins les subventions sur la production; Dollars"	"Impôts moins les subventions sur les produits et les importations; Dollars"	"Produit intérieur brut aux prix du marché; Dollars"	"Rémunération des salariés; Dollars"	"Revenu mixte brut; Dollars"	"Revenu mixte net; Dollars"	"Salaires et traitements; Dollars"
"1"	"1961-01"	"Canada"	1120	1540	3204	1000	396	8596	4272	1856	2800	40600	20540	6412	4872	19540
"2"	"1961-04"	"Canada"	1128	1508	3276	1020	208	9276	4872	1848	2792	41496	20944	6428	4920	19924
"3"	"1961-07"	"Canada"	1156	1504	3336	1052	-148	9880	5388	1876	2792	42604	21460	6744	5240	20408
"4"	"1961-10"	"Canada"	1188	1504	3384	1076	-88	9912	5340	1928	3096	43404	21788	6768	5264	20712
"5"	"1962-01"	"Canada"	1208	1508	3416	1068	-192	10084	5460	1988	3236	44624	22180	7328	5820	21112
"6"	"1962-04"	"Canada"	1268	1524	3460	1096	-288	10244	5516	2028	3268	45132	22668	7212	5688	21572
"7"	"1962-07"	"Canada"	1340	1560	3508	1124	-32	10140	5292	2008	3472	46068	23032	7448	5888	21908
"8"	"1962-10"	"Canada"	1388	1584	3548	1140	12	11000	6064	2056	3256	47132	23264	7544	5960	22124
"9"	"1963-01"	"Canada"	1420	1616	3620	1160	72	10600	5560	2076	3448	47584	23568	7820	6204	22408
"10"	"1963-04"	"Canada"	1488	1648	3672	1188	-124	11260	6100	2112	3304	48556	24028	7976	6328	22840
"11"	"1963-07"	"Canada"	1540	1680	3728	1220	-96	11236	5968	2172	3472	49352	24552	8016	6336	23332
"12"	"1963-10"	"Canada"	1576	1704	3784	1264	-28	12072	6712	2268	3580	51360	25124	8344	6640	23860
"13"	"1964-01"	"Canada"	1588	1744	3864	1276	232	12400	6948	2316	3748	52576	25668	8212	6468	24392
"14"	"1964-04"	"Canada"	1628	1760	3904	1308	-140	12664	7132	2320	4112	53420	26124	8340	6580	24816
"15"	"1964-07"	"Canada"	1688	1808	4004	1364	-32	12888	7196	2400	4104	54580	26968	8252	6444	25604
"16"	"1964-10"	"Canada"	1744	1844	4108	1408	-40	13020	7168	2420	4036	55324	27556	8332	6488	26148
"17"	"1965-01"	"Canada"	1772	1892	4216	1472	164	13216	7228	2516	4308	57268	28372	8692	6800	26900
"18"	"1965-04"	"Canada"	1860	1952	4344	1516	32	13616	7412	2548	4608	58656	29040	8812	6860	27524
"19"	"1965-07"	"Canada"	1944	2000	4484	1580	-12	13680	7252	2604	4768	60064	30016	9008	7008	28436
